Time,EncoderPosition,TargetCounts
3.02,0,700
3.02,0,700
3.02,0,700
3.02,0,700
3.02,0,700
3.02,0,700
3.03,0,700
3.04,0,700
3.05,2,700
3.07,7,700
3.08,13,700
3.09,22,700
3.11,31,700
3.12,42,700
3.13,54,700
3.15,67,700
3.16,81,700
3.17,96,700
3.19,111,700
3.2,128,700
3.22,146,700
3.23,165,700
3.25,184,700
3.26,203,700
3.28,223,700
3.29,243,700
3.3,263,700
3.32,284,700
3.33,304,700
3.35,325,700
3.36,346,700
3.38,368,700
3.39,389,700
3.41,410,700
3.42,432,700
3.44,454,700
3.45,475,700
3.46,497,700
3.48,519,700
3.49,540,700
3.51,562,700
3.52,584,700
3.54,606,700
3.55,628,700
3.57,650,700
3.58,671,700
3.6,693,700
3.61,715,700
3.62,736,700
3.64,749,700
3.65,754,700
3.67,751,700
3.68,746,700
3.7,739,700
3.71,731,700
3.73,721,700
3.74,710,700
3.76,698,700
3.77,689,700
3.78,689,700
3.8,689,700
3.81,689,700
3.83,689,700
3.84,689,700
3.86,689,700
3.87,689,700
3.89,689,700
3.9,689,700
3.92,689,700
3.93,689,700
3.95,689,700
3.96,689,700
3.97,689,700
3.99,689,700
4.0,689,700
4.02,689,700
4.03,689,700
4.05,689,700
4.06,689,700
4.08,689,700
4.09,689,700
4.11,689,700
4.12,689,700
4.13,689,700
4.15,689,700
4.16,689,700
4.18,689,700
4.19,689,700
4.21,689,700
4.22,689,700
4.24,689,700
4.25,689,700
4.26,689,700
4.28,689,700
4.29,689,700
4.31,689,700
4.32,689,700
4.34,689,700
4.35,689,700
4.37,689,700
4.38,689,700
4.4,689,700
4.41,689,700
4.43,689,700
4.44,689,700
4.45,689,700
4.47,689,700
4.48,689,700
4.5,689,700
4.51,689,700
4.53,689,700
4.54,689,700
4.56,689,700
4.57,689,700
4.59,689,700
4.6,689,700
4.61,689,700
4.63,689,700
4.64,689,700
4.66,689,700
4.67,689,700
4.69,689,700
4.7,689,700
4.72,689,700
4.73,689,700
4.75,689,700
4.76,689,700
4.77,689,700
4.79,689,700
4.8,689,700
4.82,689,700
4.83,689,700
4.85,689,700
4.86,689,700
4.88,689,700
4.89,689,700
4.91,689,700
4.92,689,700
4.93,689,700
4.95,689,700
4.96,689,700
4.98,689,700
4.99,689,700
5.01,689,700
5.02,689,700
5.04,689,700
5.05,689,700
5.07,689,700
5.08,689,700
5.09,689,700
5.11,689,700
5.12,689,700
5.14,689,700
5.15,689,700
5.17,689,700
5.18,689,700
5.2,689,700
5.21,689,700
5.23,689,700
5.24,689,700
5.26,689,700
5.27,689,700
5.28,689,700
5.3,689,700
5.31,689,700
5.33,689,700
5.34,689,700
5.36,689,700
5.37,689,700
5.39,689,700
5.4,689,700
5.42,689,700
5.43,689,700
5.44,689,700
5.46,689,700
5.47,689,700
5.49,689,700
5.5,689,700
5.52,689,700
5.53,689,700
5.55,689,700
5.56,689,700
5.57,689,700
5.59,689,700
5.61,689,700
5.62,689,700
5.63,689,700
5.65,689,700
5.66,689,700
5.68,689,700
5.69,689,700
5.71,689,700
5.72,689,700
5.74,689,700
5.75,689,700
5.76,689,700
5.78,689,700
5.79,689,700
5.81,689,700
5.82,689,700
5.84,689,700
5.85,689,700
5.87,689,700
5.88,689,700
5.9,689,700
5.91,689,700
5.92,689,700
5.94,689,700
5.95,689,700
5.97,689,700
5.98,689,700
6.0,689,700
6.01,689,700
6.03,689,700
6.04,689,700
6.05,689,700
6.07,689,700
6.09,689,700
6.1,689,700
6.11,689,700
6.13,689,700
6.14,689,700
6.16,689,700
6.17,689,700
6.19,689,700
6.2,689,700
6.22,689,700
6.23,689,700
6.25,689,700
6.26,689,700
6.28,689,700
6.29,689,700
6.3,689,700
6.32,689,700
6.33,689,700
6.35,689,700
6.36,689,700
6.38,689,700
6.39,689,700
6.41,689,700
6.42,689,700
6.43,689,700
6.45,689,700
6.46,689,700
6.48,689,700
6.49,689,700
6.51,689,700
6.52,689,700
6.54,689,700
6.55,689,700
6.57,689,700
