Time,EncoderPosition,TargetCounts
3.02,0,-350
3.02,0,-350
3.02,0,-350
3.02,0,-350
3.02,0,-350
3.02,0,-350
3.04,-4,-350
3.05,-14,-350
3.07,-28,-350
3.08,-48,-350
3.1,-71,-350
3.11,-97,-350
3.13,-125,-350
3.15,-158,-350
3.16,-192,-350
3.18,-227,-350
3.19,-264,-350
3.21,-302,-350
3.23,-340,-350
3.25,-378,-350
3.26,-417,-350
3.28,-438,-350
3.3,-441,-350
3.31,-433,-350
3.33,-418,-350
3.35,-398,-350
3.36,-373,-350
3.38,-345,-350
3.39,-324,-350
3.41,-324,-350
3.43,-324,-350
3.44,-324,-350
3.46,-324,-350
3.48,-324,-350
3.49,-324,-350
3.51,-324,-350
3.53,-324,-350
3.55,-324,-350
3.56,-324,-350
3.58,-324,-350
3.59,-324,-350
3.61,-324,-350
3.63,-324,-350
3.64,-324,-350
3.66,-324,-350
3.68,-324,-350
3.69,-324,-350
3.71,-324,-350
3.73,-324,-350
3.74,-324,-350
3.76,-324,-350
3.78,-324,-350
3.79,-324,-350
3.81,-324,-350
3.83,-324,-350
3.84,-324,-350
3.86,-324,-350
3.88,-324,-350
3.89,-324,-350
3.91,-324,-350
3.93,-324,-350
3.94,-324,-350
3.96,-324,-350
3.98,-324,-350
3.99,-324,-350
4.01,-324,-350
4.03,-324,-350
4.04,-324,-350
4.06,-324,-350
4.08,-324,-350
4.09,-324,-350
4.11,-324,-350
4.13,-324,-350
4.14,-324,-350
4.16,-324,-350
4.18,-324,-350
4.19,-324,-350
4.21,-324,-350
4.23,-324,-350
4.24,-324,-350
4.26,-324,-350
4.28,-324,-350
4.29,-324,-350
4.31,-324,-350
4.33,-324,-350
4.34,-324,-350
4.36,-324,-350
4.38,-324,-350
4.39,-324,-350
4.41,-324,-350
4.43,-324,-350
4.44,-324,-350
4.46,-324,-350
4.48,-324,-350
4.49,-324,-350
4.51,-324,-350
4.53,-324,-350
4.54,-324,-350
4.56,-324,-350
4.58,-324,-350
4.59,-324,-350
4.61,-324,-350
4.63,-324,-350
4.64,-324,-350
4.66,-324,-350
4.68,-324,-350
4.69,-324,-350
4.71,-324,-350
4.73,-324,-350
