Time,EncoderPosition,TargetCounts
3.0,0,700
3.0,0,700
3.0,0,700
3.01,0,700
3.01,0,700
3.01,0,700
3.01,0,700
3.01,0,700
3.01,1,700
3.01,2,700
3.01,3,700
3.01,4,700
3.02,6,700
3.02,8,700
3.02,10,700
3.02,12,700
3.03,15,700
3.03,18,700
3.03,21,700
3.03,25,700
3.03,29,700
3.04,32,700
3.04,37,700
3.04,41,700
3.04,45,700
3.05,50,700
3.05,55,700
3.05,60,700
3.05,65,700
3.05,70,700
3.06,75,700
3.06,80,700
3.06,86,700
3.06,91,700
3.06,97,700
3.07,103,700
3.07,109,700
3.07,116,700
3.08,122,700
3.08,128,700
3.08,135,700
3.08,142,700
3.08,149,700
3.09,156,700
3.09,162,700
3.09,169,700
3.09,176,700
3.1,184,700
3.1,191,700
3.1,198,700
3.1,205,700
3.11,212,700
3.11,220,700
3.11,227,700
3.11,234,700
3.12,242,700
3.12,249,700
3.12,257,700
3.12,264,700
3.12,272,700
3.13,279,700
3.13,287,700
3.13,294,700
3.13,302,700
3.14,310,700
3.14,317,700
3.14,325,700
3.14,332,700
3.15,340,700
3.15,348,700
3.15,356,700
3.15,363,700
3.16,371,700
3.16,379,700
3.16,387,700
3.16,394,700
3.17,402,700
3.17,410,700
3.17,418,700
3.17,426,700
3.17,433,700
3.18,441,700
3.18,449,700
3.18,457,700
3.18,465,700
3.19,473,700
3.19,480,700
3.19,488,700
3.19,496,700
3.2,504,700
3.2,512,700
3.2,519,700
3.2,527,700
3.21,534,700
3.21,542,700
3.21,550,700
3.21,557,700
3.22,565,700
3.22,572,700
3.22,580,700
3.22,587,700
3.22,594,700
3.23,601,700
3.23,608,700
3.23,616,700
3.23,622,700
3.24,629,700
3.24,636,700
3.24,643,700
3.24,650,700
3.25,656,700
3.25,663,700
3.25,670,700
3.25,676,700
3.26,682,700
3.26,688,700
3.26,694,700
3.26,700,700
3.26,706,700
3.27,712,700
3.27,718,700
3.27,724,700
3.27,729,700
3.28,734,700
3.28,739,700
3.28,743,700
3.28,748,700
3.29,752,700
3.29,756,700
3.29,760,700
3.29,763,700
3.3,766,700
3.3,769,700
3.3,772,700
3.3,775,700
3.31,777,700
3.31,779,700
3.31,781,700
3.31,783,700
3.31,784,700
3.32,786,700
3.32,787,700
3.32,788,700
3.32,788,700
3.33,788,700
3.33,788,700
3.33,788,700
3.33,788,700
3.34,788,700
3.34,787,700
3.34,786,700
3.34,786,700
3.35,785,700
3.35,784,700
3.35,783,700
3.35,782,700
3.36,781,700
3.36,780,700
3.36,779,700
3.36,778,700
3.36,777,700
3.37,776,700
3.37,775,700
3.37,773,700
3.37,772,700
3.38,771,700
3.38,769,700
3.38,768,700
3.38,767,700
3.39,765,700
3.39,764,700
3.39,762,700
3.39,761,700
3.4,760,700
3.4,758,700
3.4,757,700
3.4,755,700
3.41,754,700
3.41,752,700
3.41,751,700
3.41,750,700
3.42,748,700
3.42,747,700
3.42,746,700
3.42,744,700
3.42,743,700
3.43,741,700
