Time,EncoderPosition,TargetCounts
3.02,0,700
3.02,0,700
3.02,0,700
3.02,0,700
3.03,0,700
3.04,20,700
3.06,57,700
3.08,104,700
3.1,161,700
3.12,223,700
3.14,288,700
3.16,354,700
3.18,421,700
3.2,489,700
3.22,558,700
3.24,627,700
3.26,696,700
3.28,762,700
3.3,829,700
3.32,865,700
3.34,858,700
3.36,826,700
3.38,780,700
3.4,722,700
3.42,669,700
3.44,621,700
3.46,584,700
3.48,577,700
3.5,600,700
3.52,642,700
3.53,694,700
3.55,748,700
3.57,801,700
3.61,828,700
3.63,810,700
3.65,772,700
3.68,720,700
3.69,670,700
3.71,623,700
3.73,586,700
3.75,580,700
3.77,601,700
3.79,642,700
3.81,694,700
3.83,747,700
3.85,800,700
3.87,825,700
3.89,830,700
3.91,811,700
3.93,772,700
3.95,720,700
3.97,671,700
3.99,624,700
4.01,587,700
4.03,579,700
4.05,600,700
4.07,641,700
4.09,692,700
4.11,746,700
4.13,798,700
4.15,820,700
4.17,821,700
4.19,800,700
4.21,761,700
4.23,707,700
4.25,656,700
4.26,606,700
4.29,570,700
4.3,572,700
4.32,600,700
4.34,645,700
4.36,699,700
4.38,754,700
4.41,809,700
4.42,832,700
4.44,818,700
4.46,782,700
4.49,730,700
4.51,681,700
4.52,637,700
4.54,602,700
4.56,593,700
4.58,614,700
4.6,653,700
4.62,705,700
4.64,757,700
4.66,812,700
4.68,835,700
4.7,821,700
4.72,785,700
4.74,737,700
4.76,677,700
4.78,623,700
4.8,580,700
4.82,567,700
4.84,588,700
4.86,628,700
4.88,680,700
4.9,734,700
4.92,789,700
4.94,808,700
4.96,807,700
4.98,787,700
5.0,745,700
5.02,704,700
5.04,668,700
5.06,635,700
5.08,614,700
5.1,616,700
5.12,640,700
5.14,679,700
5.16,724,700
5.17,770,700
5.19,806,700
5.22,820,700
5.23,805,700
5.25,769,700
5.28,718,700
5.3,670,700
5.31,624,700
5.33,586,700
5.35,578,700
5.37,599,700
5.39,640,700
5.41,692,700
5.43,745,700
5.45,798,700
5.47,820,700
5.49,821,700
5.51,800,700
5.53,761,700
5.55,707,700
5.57,656,700
5.59,606,700
5.61,570,700
5.63,572,700
5.65,600,700
5.67,645,700
5.69,699,700
5.71,753,700
5.73,809,700
5.75,832,700
5.77,818,700
5.79,782,700
5.81,731,700
5.83,681,700
5.85,638,700
5.87,603,700
5.89,594,700
5.91,613,700
5.93,653,700
5.95,704,700
5.97,756,700
5.99,810,700
6.01,833,700
6.03,820,700
6.05,785,700
6.07,737,700
6.09,678,700
6.11,624,700
6.12,580,700
6.15,568,700
6.16,588,700
6.18,627,700
6.2,679,700
6.22,733,700
6.24,786,700
6.26,829,700
6.28,853,700
6.3,843,700
6.32,810,700
6.34,762,700
6.36,704,700
6.38,653,700
6.4,606,700
6.42,578,700
6.44,584,700
6.46,614,700
6.48,659,700
6.5,714,700
6.51,765,700
6.54,819,700
6.56,846,700
6.58,837,700
6.59,804,700
6.62,758,700
6.64,700,700
6.65,649,700
6.68,600,700
6.69,574,700
6.71,583,700
6.73,616,700
6.75,663,700
6.77,719,700
6.79,771,700
6.81,825,700
6.83,854,700
6.85,845,700
6.87,812,700
6.89,765,700
6.91,707,700
6.93,652,700
6.95,601,700
6.97,567,700
6.99,570,700
7.01,599,700
7.03,644,700
7.05,699,700
7.07,754,700
7.09,810,700
7.11,834,700
7.13,820,700
7.15,784,700
7.17,735,700
7.19,676,700
7.21,622,700
7.23,579,700
7.25,567,700
7.27,588,700
7.29,628,700
7.31,680,700
7.32,734,700
7.34,787,700
7.36,833,700
7.38,859,700
7.4,851,700
7.42,818,700
7.44,771,700
7.46,713,700
7.48,660,700
7.5,611,700
7.52,575,700
7.54,572,700
7.56,596,700
7.58,638,700
7.6,691,700
7.62,746,700
7.64,799,700
7.66,822,700
7.68,823,700
7.7,802,700
7.72,762,700
7.74,708,700
7.76,657,700
7.78,609,700
7.8,575,700
7.82,577,700
7.84,606,700
7.86,650,700
7.88,705,700
7.9,758,700
7.92,813,700
7.94,837,700
7.96,826,700
7.98,792,700
8.0,744,700
8.02,685,700
8.03,635,700
8.05,585,700
8.07,563,700
8.09,578,700
8.11,614,700
8.13,663,700
8.15,720,700
8.17,772,700
8.19,826,700
8.21,856,700
8.23,848,700
8.25,816,700
8.27,769,700
8.29,710,700
8.31,658,700
8.33,608,700
8.35,573,700
8.37,572,700
8.39,598,700
8.41,641,700
8.43,694,700
8.45,748,700
8.47,802,700
8.49,826,700
8.51,832,700
8.53,813,700
8.55,775,700
8.57,722,700
8.59,673,700
8.61,627,700
8.63,591,700
8.65,584,700
8.67,607,700
8.69,648,700
8.71,700,700
8.72,753,700
8.75,808,700
8.77,831,700
8.78,837,700
8.81,820,700
8.82,782,700
8.85,730,700
8.87,679,700
8.89,635,700
8.9,600,700
8.93,592,700
8.94,612,700
8.97,652,700
8.98,703,700
9.0,755,700
9.02,809,700
9.04,832,700
9.06,819,700
9.08,784,700
9.1,733,700
9.12,685,700
9.14,644,700
9.16,605,700
9.18,589,700
9.2,601,700
9.22,636,700
9.24,684,700
9.26,735,700
9.28,787,700
9.3,803,700
9.32,799,700
9.34,775,700
9.36,732,700
9.38,688,700
9.4,650,700
9.42,613,700
9.44,596,700
9.46,607,700
9.48,639,700
9.5,686,700
9.52,737,700
9.54,787,700
9.56,803,700
9.58,799,700
9.6,775,700
9.62,731,700
9.64,687,700
9.66,649,700
9.68,612,700
9.7,596,700
9.72,607,700
9.74,640,700
9.76,688,700
9.77,738,700
9.79,789,700
9.81,807,700
9.83,807,700
9.85,787,700
9.87,748,700
9.89,695,700
9.91,645,700
9.93,598,700
9.95,572,700
9.97,584,700
9.99,618,700
10.01,669,700
10.03,729,700
10.05,786,700
10.07,833,700
10.1,857,700
10.12,844,700
10.14,806,700
10.16,754,700
10.18,692,700
10.2,637,700
10.22,586,700
10.24,565,700
10.26,582,700
10.28,622,700
10.3,676,700
10.32,737,700
10.34,794,700
10.36,842,700
10.39,869,700
10.41,858,700
10.43,822,700
10.45,771,700
10.47,708,700
10.49,652,700
10.51,600,700
10.53,566,700
10.55,572,700
10.57,606,700
10.6,656,700
10.61,715,700
10.63,770,700
10.65,826,700
10.68,851,700
10.7,837,700
10.72,799,700
10.74,747,700
10.76,684,700
10.78,631,700
10.8,581,700
10.82,563,700
10.84,583,700
10.86,625,700
10.88,680,700
10.9,741,700
10.93,800,700
10.95,821,700
10.97,818,700
10.99,795,700
11.01,752,700
11.03,694,700
11.05,642,700
11.07,593,700
11.09,571,700
11.11,589,700
11.13,630,700
11.15,684,700
11.17,741,700
11.2,798,700
11.22,815,700
11.24,813,700
11.26,788,700
11.28,743,700
11.3,685,700
11.32,635,700
11.34,586,700
11.36,566,700
11.38,585,700
11.4,626,700
11.42,681,700
11.44,738,700
11.47,796,700
11.49,815,700
11.51,813,700
11.53,787,700
11.55,742,700
11.57,683,700
11.59,632,700
11.61,582,700
11.63,564,700
11.65,582,700
11.67,624,700
11.69,678,700
11.71,739,700
11.74,798,700
11.76,816,700
11.78,813,700
11.8,788,700
11.82,744,700
11.84,686,700
11.86,636,700
11.88,588,700
11.9,568,700
11.92,584,700
11.94,623,700
11.96,676,700
11.98,737,700
12.01,793,700
12.03,840,700
12.05,865,700
12.07,855,700
12.09,819,700
12.11,768,700
12.13,705,700
12.15,649,700
12.17,596,700
12.19,561,700
12.21,567,700
12.23,599,700
12.26,648,700
12.28,707,700
12.3,766,700
12.32,824,700
12.34,849,700
12.36,834,700
12.38,795,700
12.4,743,700
12.42,680,700
12.44,627,700
12.46,576,700
12.48,558,700
12.5,576,700
12.52,617,700
12.55,670,700
12.57,732,700
12.59,789,700
12.61,838,700
12.63,863,700
12.65,853,700
12.67,817,700
12.69,766,700
12.71,705,700
12.73,649,700
12.75,595,700
12.77,562,700
12.8,568,700
12.82,602,700
12.84,651,700
12.86,710,700
12.88,768,700
12.9,827,700
12.92,851,700
12.94,837,700
12.96,798,700
12.98,746,700
13.0,683,700
13.02,630,700
13.04,580,700
13.06,560,700
13.09,576,700
13.11,616,700
13.13,669,700
13.15,730,700
13.17,788,700
13.19,836,700
13.21,861,700
13.23,848,700
13.25,811,700
13.27,759,700
13.29,696,700
13.31,642,700
13.34,592,700
13.36,567,700
13.38,583,700
13.4,623,700
13.42,676,700
13.44,737,700
13.46,793,700
13.48,840,700
13.5,866,700
13.52,855,700
13.54,818,700
13.56,767,700
13.59,705,700
13.61,648,700
13.63,595,700
13.65,563,700
13.67,573,700
13.69,610,700
13.71,661,700
13.73,721,700
13.75,776,700
13.77,832,700
13.79,858,700
13.81,844,700
13.83,806,700
13.85,754,700
13.88,691,700
13.9,636,700
13.92,584,700
13.94,561,700
13.96,579,700
13.98,620,700
14.0,673,700
14.02,735,700
14.04,792,700
14.06,840,700
14.08,867,700
14.1,856,700
14.13,819,700
14.15,767,700
14.17,705,700
14.19,648,700
14.21,596,700
14.23,564,700
14.25,573,700
14.27,610,700
14.29,661,700
14.31,721,700
14.33,776,700
14.35,832,700
14.37,858,700
14.39,844,700
14.41,806,700
14.44,753,700
14.46,690,700
14.48,635,700
14.5,584,700
14.52,561,700
14.54,577,700
14.56,617,700
14.58,670,700
14.6,731,700
14.62,788,700
14.64,835,700
14.66,860,700
14.69,847,700
14.71,810,700
14.73,759,700
14.75,696,700
14.77,641,700
14.79,591,700
14.81,567,700
14.83,583,700
14.85,622,700
14.87,675,700
14.89,736,700
14.91,793,700
14.94,840,700
14.96,865,700
14.98,854,700
15.0,818,700
15.02,767,700
15.04,704,700
15.06,647,700
15.08,594,700
15.1,561,700
15.12,566,700
15.14,600,700
15.16,649,700
15.18,708,700
15.2,766,700
15.23,826,700
15.25,853,700
15.27,837,700
15.29,798,700
15.31,746,700
15.33,682,700
15.35,629,700
15.37,579,700
15.39,561,700
15.41,580,700
15.43,621,700
15.45,675,700
15.47,736,700
15.49,794,700
15.52,842,700
15.54,868,700
15.56,855,700
15.58,817,700
15.6,766,700
15.62,703,700
15.64,646,700
15.66,588,700
15.68,554,700
15.7,566,700
15.73,605,700
15.75,657,700
15.77,718,700
15.78,774,700
15.81,831,700
15.83,859,700
15.85,847,700
15.87,810,700
15.89,758,700
15.91,696,700
15.93,641,700
15.95,591,700
15.97,567,700
15.99,582,700
16.01,621,700
16.03,674,700
16.06,735,700
16.08,792,700
16.1,839,700
16.12,865,700
16.14,855,700
16.16,819,700
16.18,768,700
16.2,706,700
16.22,650,700
16.24,596,700
16.26,562,700
16.28,568,700
16.31,600,700
16.33,650,700
16.35,709,700
16.37,767,700
16.39,826,700
16.41,852,700
16.43,838,700
16.45,799,700
16.47,747,700
16.49,684,700
16.51,631,700
16.53,580,700
16.55,560,700
16.57,577,700
16.6,617,700
16.62,671,700
16.64,732,700
16.66,789,700
16.68,836,700
16.7,862,700
16.72,849,700
16.74,812,700
16.76,760,700
16.78,697,700
16.8,643,700
16.82,592,700
16.84,568,700
16.87,582,700
16.89,621,700
16.91,673,700
16.93,734,700
16.95,790,700
16.97,836,700
16.99,860,700
17.01,848,700
17.03,811,700
17.05,759,700
17.08,697,700
17.09,642,700
17.12,591,700
17.14,565,700
17.16,580,700
17.18,619,700
17.2,672,700
17.22,733,700
17.24,791,700
17.26,839,700
17.28,865,700
17.3,854,700
17.32,818,700
17.34,767,700
17.37,704,700
17.39,647,700
17.41,594,700
17.43,561,700
17.45,567,700
17.47,600,700
17.49,649,700
17.51,708,700
17.53,767,700
17.55,826,700
17.57,855,700
17.59,843,700
17.61,806,700
17.64,755,700
17.66,693,700
17.68,638,700
17.7,588,700
17.72,564,700
17.74,580,700
17.76,620,700
17.78,673,700
17.8,734,700
17.82,791,700
17.84,839,700
17.86,865,700
17.89,855,700
17.91,819,700
17.93,768,700
17.95,706,700
17.97,650,700
17.99,597,700
18.01,562,700
18.03,567,700
18.05,600,700
18.07,649,700
18.09,708,700
18.11,766,700
18.14,825,700
18.16,852,700
18.18,838,700
18.2,800,700
18.22,748,700
18.24,684,700
18.26,632,700
18.28,581,700
18.3,562,700
18.32,582,700
18.34,624,700
18.36,679,700
18.38,740,700
18.4,798,700
18.43,816,700
18.45,813,700
18.47,788,700
18.49,743,700
18.51,685,700
18.53,634,700
18.55,587,700
18.57,568,700
18.59,585,700
18.61,625,700
18.63,678,700
18.65,739,700
18.67,797,700
18.7,815,700
18.72,813,700
18.74,790,700
18.76,746,700
18.78,689,700
18.8,636,700
18.82,586,700
18.84,566,700
18.86,584,700
18.88,625,700
18.9,679,700
18.93,740,700
18.95,799,700
18.97,819,700
18.99,819,700
19.01,796,700
19.03,753,700
19.05,696,700
19.07,644,700
19.09,596,700
19.11,573,700
19.13,588,700
19.15,626,700
19.18,678,700
19.2,738,700
19.22,796,700
19.24,814,700
19.26,811,700
19.28,786,700
19.3,742,700
19.32,684,700
19.34,633,700
19.36,585,700
19.38,567,700
19.4,586,700
19.43,628,700
19.45,682,700
19.47,740,700
19.49,797,700
19.51,815,700
19.53,814,700
19.55,790,700
19.57,746,700
19.59,688,700
19.61,638,700
19.63,591,700
19.65,573,700
19.67,591,700
19.69,632,700
19.72,686,700
19.74,743,700
19.76,799,700
19.78,818,700
