Time,EncoderPosition,TargetCounts
3.02,0,350
3.02,0,350
3.02,0,350
3.02,0,350
3.03,2,350
3.04,21,350
3.06,58,350
3.08,106,350
3.1,162,350
3.12,224,350
3.14,288,350
3.16,352,350
3.18,410,350
3.2,466,350
3.22,487,350
3.24,482,350
3.26,471,350
3.28,457,350
3.3,439,350
3.32,416,350
3.34,387,350
3.36,351,350
3.38,310,350
3.4,270,350
3.42,240,350
3.44,229,350
3.46,237,350
3.48,259,350
3.5,291,350
3.52,328,350
3.54,365,350
3.55,398,350
3.57,429,350
3.59,430,350
3.62,410,350
3.64,381,350
3.65,344,350
3.67,304,350
3.69,264,350
3.71,236,350
3.73,228,350
3.75,239,350
3.77,264,350
3.79,299,350
3.81,336,350
3.83,373,350
3.85,408,350
3.87,434,350
3.89,432,350
3.91,412,350
3.93,385,350
3.95,348,350
3.97,307,350
3.98,267,350
4.0,236,350
4.02,226,350
4.04,233,350
4.06,255,350
4.08,288,350
4.1,326,350
4.12,365,350
4.14,399,350
4.16,431,350
4.18,434,350
4.2,417,350
4.22,389,350
4.24,354,350
4.26,314,350
4.28,274,350
4.3,245,350
4.32,233,350
4.34,238,350
4.36,257,350
4.38,287,350
4.4,323,350
4.42,359,350
4.43,392,350
4.45,421,350
4.47,441,350
4.49,436,350
4.51,416,350
4.53,387,350
4.55,351,350
4.57,310,350
4.59,270,350
4.61,241,350
4.63,229,350
4.65,237,350
4.67,258,350
4.69,291,350
4.71,327,350
4.73,364,350
4.74,397,350
4.76,428,350
4.78,429,350
4.8,409,350
4.82,380,350
4.84,342,350
4.86,303,350
4.88,264,350
4.9,235,350
4.92,226,350
4.94,234,350
4.96,257,350
4.98,290,350
5.0,327,350
5.02,365,350
5.03,399,350
5.05,430,350
5.07,430,350
5.09,409,350
5.11,380,350
5.14,342,350
5.15,302,350
5.17,262,350
5.19,233,350
5.21,224,350
5.23,232,350
5.25,255,350
5.27,289,350
5.29,326,350
5.31,365,350
5.32,400,350
5.34,432,350
5.36,434,350
5.39,417,350
5.41,389,350
5.43,354,350
5.45,314,350
5.46,274,350
5.48,245,350
5.5,233,350
5.52,238,350
5.54,257,350
5.56,287,350
5.58,322,350
5.6,358,350
5.62,390,350
5.64,419,350
5.66,439,350
5.68,433,350
5.7,412,350
5.72,383,350
5.74,346,350
5.76,305,350
5.77,264,350
5.79,233,350
5.81,222,350
5.83,233,350
5.85,258,350
5.87,294,350
5.89,332,350
5.91,371,350
5.93,407,350
5.95,433,350
5.97,433,350
5.99,415,350
6.01,388,350
6.03,352,350
6.05,312,350
6.07,273,350
6.09,244,350
6.11,232,350
6.13,240,350
6.15,260,350
6.17,292,350
6.18,327,350
6.2,363,350
6.22,396,350
6.24,425,350
6.26,444,350
6.28,439,350
6.3,419,350
6.32,391,350
6.34,357,350
6.36,317,350
6.38,277,350
6.4,249,350
6.42,237,350
6.44,246,350
6.46,267,350
6.48,298,350
6.5,332,350
6.51,367,350
6.53,399,350
6.55,420,350
6.57,414,350
6.59,391,350
6.61,358,350
6.63,319,350
6.65,281,350
6.67,253,350
6.69,241,350
6.71,247,350
6.73,265,350
6.75,293,350
6.76,325,350
6.78,359,350
6.8,389,350
6.82,416,350
6.84,432,350
6.86,426,350
6.88,403,350
6.9,372,350
6.92,335,350
6.94,301,350
6.96,269,350
6.98,248,350
7.0,245,350
7.02,254,350
7.03,275,350
7.05,305,350
7.07,337,350
7.09,370,350
7.11,400,350
7.13,420,350
7.15,415,350
7.17,393,350
7.19,360,350
7.21,322,350
7.23,284,350
7.25,256,350
7.27,245,350
7.29,248,350
7.31,264,350
7.32,290,350
7.34,320,350
7.36,353,350
7.38,384,350
7.4,413,350
7.42,432,350
7.44,427,350
7.46,405,350
7.48,375,350
7.5,340,350
7.52,306,350
7.54,275,350
7.56,255,350
7.57,251,350
7.59,262,350
7.61,284,350
7.63,312,350
7.65,342,350
7.67,372,350
